source,target,weight,source_name,target_name
01KrGKYTu8tsrn6eDljWIP,1XnZW7sNgQ2wHT0OFaQUxN,2,Jorge Alves Barcelos,Jose FernandoEmilio Olvera Sierra
01KrGKYTu8tsrn6eDljWIP,1u5fv4wdXsuhtQvsNqpOQC,1,Jorge Alves Barcelos,Marilia Dias Mendonça
01KrGKYTu8tsrn6eDljWIP,2oq5fJTUJDDHaiEdQslURd,1,Jorge Alves Barcelos,Carla Maraisa Henrique Pereira
01KrGKYTu8tsrn6eDljWIP,3Ar52bMI4Oce6mfphDno71,3,Jorge Alves Barcelos,Mateus Pedro Liduario Oliveira
01KrGKYTu8tsrn6eDljWIP,3aEHy4OsPK7dLXYg0xUkOk,1,Jorge Alves Barcelos,Edson Silva
01KrGKYTu8tsrn6eDljWIP,3gxI9FSzviDKGNKiAlqjNe,1,Jorge Alves Barcelos,Rodrigo Lisboa
01KrGKYTu8tsrn6eDljWIP,3nbPZSQoKGPYhzK3sM3YBp,1,Jorge Alves Barcelos,Maiara Carla Henrique Pereira
01KrGKYTu8tsrn6eDljWIP,46RpmB8LVMEaWLbJDlWbwG,1,Jorge Alves Barcelos,Mateus Mateus
01KrGKYTu8tsrn6eDljWIP,54TdoeT4hsWrP3yjhNmx8w,1,Jorge Alves Barcelos,Marcelo Silva Dos Santos
01KrGKYTu8tsrn6eDljWIP,5lebkZXM6P4dcCeITcCWdn,1,Jorge Alves Barcelos,Abdul Samad
01KrGKYTu8tsrn6eDljWIP,65aGufq8A6hMHRqjtZXZD1,1,Jorge Alves Barcelos,Juliano Goncalves Soares
01KrGKYTu8tsrn6eDljWIP,68EnbyLJ3qxF3lYySljeaA,1,Jorge Alves Barcelos,Marcelo Dinelza
01KrGKYTu8tsrn6eDljWIP,7AnQGuknGCDEvr1t4n6Ink,1,Jorge Alves Barcelos,"Aliaune ""Akon"" Thiam"
01KrGKYTu8tsrn6eDljWIP,7r4Dgci4f57hqndqqX1Q35,1,Jorge Alves Barcelos,Breno Breno
01LDafMk5GhexrIm0c1Fwg,5YVanYuYqaf0FdTK3jufSL,1,Brunno Gabryel Lins Cardoso,Rodrigo Oliveira
01P3VUZffwGGMplc7HxDLK,0gcRdLHzSEUPQwFoU8gBgB,1,Derrick Hill,Valerii Zaitsev
01SMVU81JEqFYGnv7nvCu5,17rMFU66TGlgpuEc4bhxN5,1,Phil Buerstatte,Jay Noel Yuenger
01SMVU81JEqFYGnv7nvCu5,3HVdAiMNjYrQIKlOGxoGh5,1,Phil Buerstatte,Rob Zombie
01SMVU81JEqFYGnv7nvCu5,62p1CktaPlhxfKSFN9qSc5,1,Phil Buerstatte,Shauna Iseult Reynolds
01UzgUtDa2NqWuvUjrrl3p,0MXslhNBeNpn9HZ5g3UDIZ,1,Heitor Villa-Lobos,Roquete Pinto
01UzgUtDa2NqWuvUjrrl3p,331SgRvjuzaIHJ4ZKcdxPg,1,Heitor Villa-Lobos,Teca Calazans
01ZvMQpzpGRFVwZ9W2LGGE,0tqyBCHdmHV37hJj9ZYKZQ,1,Kehlani Ashley Parrish,Megan Pete
01ZvMQpzpGRFVwZ9W2LGGE,3YM5fNqagP9Ic4fsiN8nyU,1,Kehlani Ashley Parrish,Sam Wishkoski
01ZvMQpzpGRFVwZ9W2LGGE,4IliwB3K8CIFMcf2EWpS8u,1,Kehlani Ashley Parrish,Jacob Dutton
01ZvMQpzpGRFVwZ9W2LGGE,4lhZ0TUgg21LjMo70e6p5m,1,Kehlani Ashley Parrish,Nija Aisha-Alayja Charles
01ZvMQpzpGRFVwZ9W2LGGE,71mL1PDIyHSpwj9LBfc8Zn,1,Kehlani Ashley Parrish,Andrew Wansel
01aKiJ5jiXyDcd9Z7vVqWz,0KYtCq4WS145MEtdcmziJ2,1,Sebastien Najand,Rebecca Johnson
